<DOC>	<DOC>+BDTag
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
Jones	jones+NOUN+PROP+A3SG+PNON+NOM
sanayisi	sanayi+NOUN+A3SG+P3SG+NOM
2569.26'da	2569.26+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+LOC
kapandı	kapan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Görünüşe	görün+VERB+RECIP+POS+OPT+A3SG
göre	göre+POSTP+PCDAT
komisyon	komisyon+NOUN+A3SG+PNON+NOM
gerçekten	gerçekten+ADV
bu	bu+DET
ideale	ideal+NOUN+A3SG+PNON+DAT
inanmadı	inan+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
diyaloğu	diyalog+NOUN+A3SG+PNON+ACC
sürdürmek	sür+VERB^DB+VERB+CAUS+POS^DB+NOUN+INF+A3SG+PNON+NOM
kesinlikle	kesinlikle+ADV
çok	çok+ADV
önemlidir	önemli+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
Kara	kara+NOUN+PROP+A3SG+PNON+NOM
Pazartesi'nde	pazartesi+NOUN+PROP+A3SG+P2SG+LOC
%	%+PERCENT
22.6'ya	22.6+NUM+REAL^DB+NOUN+ZERO+A3SG+PNON+DAT
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
yazanların	yaz+VERB+POS^DB+ADJ+PRESPART^DB+NOUN+ZERO+A3PL+PNON+GEN
hepsi	hepsi+PRON+QUANTP+A3PL+P3PL+NOM
değişikliklere	değişiklik+NOUN+A3PL+PNON+DAT
karşı	karşı+ADJ
çıkmaz	çık+VERB+NEG+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Cuma	cuma+NOUN+A3SG+PNON+NOM
günü	gün+NOUN+A3SG+P3SG+NOM
düşünmek	düşün+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
çok	çok+ADV
geç	geç+ADJ
olacaktı	ol+VERB+POS+FUT+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birçok	birçok+DET
borsacının	borsacı+NOUN+A3SG+PNON+GEN
haberler	haber+NOUN+A3PL+PNON+NOM
yayımlandığı	yayımla+VERB^DB+VERB+PASS+POS^DB+NOUN+PASTPART+A3SG+P3SG+NOM
zaman	zaman+NOUN+A3SG+PNON+NOM
kafalarını	kafa+NOUN+A3PL+P3PL+ACC
salladığı	salla+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+NOM
görülebilirdi	gör+VERB^DB+VERB+PASS+POS^DB+VERB+ABLE+AOR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
SEC'den	sec+NOUN+PROP+A3SG+PNON+ABL
Bay	bay+NOUN+A3SG+PNON+NOM
Lane	lane+NOUN+PROP+A3SG+PNON+NOM
bu	bu+DET
tahminleri	tahmin+NOUN+A3PL+PNON+ACC
şiddetle	şiddetle+ADV
eleştirdi	eleştir+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bunu	bu+PRON+DEMONSP+A3SG+PNON+ACC
vaktinden	vakit+NOUN+A3SG+P3SG+ABL
önce	önce+ADV
düşünmek	düşün+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
zorundaydık	zor+ADJ^DB+NOUN+ZERO+A3SG+P3SG+LOC^DB+VERB+ZERO+PAST+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
noktada	nokta+NOUN+A3SG+PNON+LOC
,	,+PUNC
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
yaklaşık	yaklaşık+ADJ
35	35+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
düşmüştü	düş+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
4300	4300+NUM+CARD
Civarı	civar+NOUN+A3SG+PNON+ACC
kurum	kurum+NOUN+A3SG+PNON+NOM
emeklilik	emeklilik+ADJ
fonunun	fon+NOUN+A3SG+P3SG+GEN
parçasıdır	parça+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
birkaç	birkaç+DET
farklı	fark+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
Fidelity	Fidelity+NOUN+PROP+A3SG+PNON+NOM
fonu	fon+NOUN+A3SG+P3SG+NOM
adıyla	ad+NOUN+A3SG+P3SG+INS
reklamını	reklam+NOUN+A3SG+P3SG+ACC
yapmaya	yap+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
devam	devam+NOUN+A3SG+PNON+NOM
eder	et+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Piyasa	piyasa+NOUN+A3SG+PNON+NOM
çöktü	çök+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Richard	richard+NOUN+PROP+A3SG+PNON+NOM
Stoltzman	stoltzman+NOUN+PROP+A3SG+PNON+NOM
daha	daha+ADV
nazik	nazik+ADJ
,	,+PUNC
daha	daha+ADV
dinleyici	dinleyici+NOUN+A3SG+PNON+NOM
dostu	dost+NOUN+A3SG+P3SG+NOM
bir	bir+DET
yaklaşım	yaklaşım+NOUN+A3SG+PNON+NOM
benimsedi	benimse+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
PaineWebber	PaineWebber+NOUN+PROP+A3SG+PNON+NOM
da	da+CONJ
1987	1987+NUM+CARD
çöküşü	çöküş+NOUN+A3SG+P3SG+NOM
sayesinde	sayesinde+ADV
hızlıca	hız+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+ADV+LY
toparlanabildi	toparlan+VERB+POS^DB+VERB+ABLE+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
hisse	hisse+NOUN+A3SG+PNON+NOM
senetleri	senet+NOUN+A3PL+P3SG+NOM
nihayet	nihayet+ADV
tekrar	tekrar+ADV
açıldı	aç+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
çaldığına	çal+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+DAT
inanıyor	inan+VERB+POS+PROG1+A3SG
,	,+PUNC
ve	ve+CONJ
mükemmel	mükemmel+ADJ
çalıyor	çal+VERB+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Reklam	reklam+NOUN+A3SG+PNON+NOM
dün	dün+NOUN+A3SG+PNON+NOM
gece	gece+NOUN+A3SG+PNON+NOM
CNN'de	cnn+NOUN+PROP+A3SG+PNON+LOC
üç	üç+NUM+CARD
kez	kez+NOUN+A3SG+PNON+NOM
görünmek	görün+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
üzere	üzere+POSTP+PCNOM
planlandı	planla+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sonuç	sonuç+NOUN+A3SG+PNON+NOM
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
,	,+PUNC
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemler	işlem+NOUN+A3PL+PNON+NOM
ve	ve+CONJ
borsa	borsa+NOUN+A3SG+PNON+NOM
arasındaki	ara+NOUN+A3SG+P3SG+LOC^DB+ADJ+REL
bağlantı	bağlantı+NOUN+A3SG+PNON+NOM
parçalandı	parçala+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bach'ın	bach+NOUN+PROP+A3SG+PNON+GEN
Air'i	air+NOUN+PROP+A3SG+PNON+ACC
izledi	izle+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
PaineWebber	PaineWebber+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
belirli	belirli+ADJ
hisseleri	hisse+NOUN+A3PL+PNON+ACC
önererek	öner+VERB+POS^DB+ADV+BYDOINGSO
daha	daha+ADV
da	da+CONJ
zor	zor+ADJ
bir	bir+DET
satışı	sat+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
hesaba	hesap+NOUN+A3SG+PNON+DAT
kattı	kat+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemlerin	işlem+NOUN+A3PL+PNON+GEN
duraksaması	duraksa+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
hatta	hatta+ADV
New	new+NOUN+PROP+A3SG+PNON+NOM
York	york+NOUN+PROP+A3SG+PNON+NOM
Borsası	borsa+NOUN+A3SG+P3SG+NOM
borsa	borsa+NOUN+A3SG+PNON+NOM
tacirleri	tacir+NOUN+A3PL+P3SG+NOM
tarafından	taraf+NOUN+A3SG+P3SG+ABL
kınandı	kınan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
sıcak	sıcak+ADJ
ve	ve+CONJ
yumuşak	yumuşak+ADJ
duygular	duygu+NOUN+A3PL+PNON+NOM
için	için+POSTP+PCNOM
uygun	uygun+ADJ
olan	ol+VERB+POS^DB+ADJ+PRESPART
çizgiyi	çizgi+NOUN+A3SG+PNON+ACC
aştı	aş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
şöyle	şöyle+ADV
ekledi	ekle+VERB+POS+PAST+A3SG
,	,+PUNC
``	``+PUNC
Bu	bu+DET
yeniden	yeniden+ADV
değerlendirilen	değer+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE^DB+VERB+CAUS^DB+VERB+PASS+POS^DB+ADJ+PRESPART
1987	1987+NUM+CARD
değildir	değil+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
''	''+PUNC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
Önemli	önemli+NOUN+PROP+A3SG+PNON+NOM
bir	bir+NUM+CARD
uzman	uzman+NOUN+A3SG+PNON+NOM
,	,+PUNC
o	o+PRON+PERS+A3SG+PNON+NOM
işleri	iş+NOUN+A3PL+PNON+ACC
bozdu	boz+VERB+POS+PAST+A3SG
''	''+PUNC
dedi	de+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yoksa	yoksa+CONJ
Bayan	bayan+NOUN+A3SG+PNON+NOM
Collins	collins+NOUN+PROP+A3SG+PNON+NOM
gittiği	git+VERB+POS^DB+NOUN+PASTPART+A3SG+P3SG+NOM
için	için+POSTP+PCNOM
miydi	mi+QUES+PAST+A3SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Reklam	reklam+NOUN+A3SG+PNON+NOM
Notları	not+NOUN+A3SG+P3PL+NOM
...	...+PUNC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
hisse	hisse+NOUN+A3SG+PNON+NOM
senetleri	senet+NOUN+A3PL+P3SG+NOM
düşmeye	düş+VERB+POS^DB+NOUN+INF2+A3SG+PNON+DAT
devam	devam+NOUN+A3SG+PNON+NOM
etti	et+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
oda	oda+NOUN+A3SG+PNON+NOM
müziğinin	müzik+NOUN+A3SG+P3SG+GEN
geleceği	gelecek+NOUN+A3SG+PNON+ACC
bu	bu+DET
mudur	mu+QUES+PRES+A3SG+COP
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
ARNOLD	ARNOLD+NOUN+PROP+A3SG+PNON+NOM
REKLAMCILIK	reklamcılık+NOUN+A3SG+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Dow	dow+NOUN+PROP+A3SG+PNON+NOM
sanayisi	sanayi+NOUN+A3SG+P3SG+NOM
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemlerin	işlem+NOUN+A3PL+PNON+GEN
duraksamasından	duraksa+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+ABL
önce	önce+POSTP+PCABL
öğlen	öğlen+NOUN+A3SG+PNON+NOM
3'te	3+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+LOC
55	55+NUM+CARD
puan	puan+NOUN+A3SG+PNON+NOM
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
sonraki	sonraki+ADJ
ne	ne+PRON+QUESP+A3SG+PNON+NOM
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şartlar	şart+NOUN+A3PL+PNON+NOM
açıklanmadı	açıkla+VERB^DB+VERB+PASS+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Alıcılar	alıcı+NOUN+A3PL+PNON+NOM
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemler	işlem+NOUN+A3PL+PNON+NOM
çukuruna	çukur+NOUN+A3SG+P3SG+DAT
adım	adım+NOUN+A3SG+PNON+NOM
attı	at+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Shostakovich	shostakovich+NOUN+PROP+A3SG+PNON+NOM
dörtlülerini	dört+NUM+CARD^DB+NOUN+ZERO+A3SG+PNON+NOM^DB+ADJ+WITH^DB+NOUN+ZERO+A3PL+P3SG+ACC
göstermek	göster+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
Slaytlar	slayt+NOUN+A3PL+PNON+NOM
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+DET
hesap	hesap+NOUN+A3SG+PNON+NOM
Della	Della+NOUN+PROP+A3SG+PNON+NOM
Femina	Femina+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
McNamee	McNamee+NOUN+PROP+A3SG+PNON+NOM
WCRS	WCRS+NOUN+PROP+A3SG+PNON+NOM
tarafından	taraf+NOUN+A3SG+P3SG+ABL
idare	idare+NOUN+A3SG+PNON+NOM
ediliyordu	et+VERB^DB+VERB+PASS+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
ben	ben+PRON+PERS+A1SG+PNON+NOM
birçok	birçok+DET
insanın	insan+NOUN+A3SG+PNON+GEN
menkul	menkul+NOUN+A3SG+PNON+NOM
satışı	sat+VERB+POS^DB+NOUN+INF3+A3SG+PNON+ACC
üzerinde	üzerinde+ADV
duracağını	dur+VERB+POS^DB+NOUN+FUTPART+A3SG+P3SG+ACC
düşünüyorum	düşün+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bayan	bayan+NOUN+A3SG+PNON+NOM
Waleson	waleson+NOUN+PROP+A3SG+PNON+NOM
New	new+NOUN+PROP+A3SG+PNON+NOM
York'ta	york+NOUN+PROP+A3SG+PNON+LOC
yaşayan	yaşa+VERB+POS^DB+ADJ+PRESPART
serbest	serbest+ADJ
bir	bir+DET
yazardır	yazar+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
EĞİTİM	eğitim+NOUN+A3SG+PNON+NOM
REKLAMLARI	reklam+NOUN+A3SG+P3PL+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
tartışmayı	tartış+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
tamamıyla	tamamıyla+ADV
ön	ön+ADJ
plana	plan+NOUN+A3SG+PNON+DAT
çıkaracak	çık+VERB^DB+VERB+CAUS+POS+FUT+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+PRON+PERS+A3SG+PNON+NOM
M'Bow	M'Bow+NOUN+PROP+A3SG+PNON+NOM
kabalının	kabal+NOUN+A3SG+P3SG+GEN
yerini	yer+NOUN+A3SG+P3SG+ACC
alamadı	al+VERB^DB+VERB+ABLE+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Siz	siz+PRON+PERS+A2PL+PNON+NOM
ortalamalar	ortala+VERB+POS^DB+NOUN+INF2+A3PL+PNON+NOM
yasası	yasa+NOUN+A3SG+P3SG+NOM
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
bilirsiniz	bil+VERB+POS+AOR+A2PL
,	,+PUNC
değil	değil+ADJ
mi	mi+QUES+PRES+A3SG
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
hiç	hiç+ADV
alıcı	alıcı+NOUN+A3SG+PNON+NOM
yoktu	yok+ADJ^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
UNESCO'ya	unesco+NOUN+PROP+A3SG+PNON+DAT
karşı	karşı+POSTP+PCDAT
reform	reform+NOUN+A3SG+PNON+NOM
yapmadaki	yap+VERB+POS^DB+NOUN+INF2+A3SG+PNON+LOC^DB+ADJ+REL
şaşırtmayan	şaşır+VERB^DB+VERB+CAUS+NEG^DB+ADJ+PRESPART
başarısızlığından	başarı+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+NESS+A3SG+P3SG+ABL
daha	daha+ADV
da	da+CONJ
kuvvetli	kuvvet+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+DET
argüman	argüman+NOUN+A3SG+PNON+NOM
görüyoruz	gör+VERB+POS+PROG1+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
Giant	Giant+NOUN+PROP+A3SG+PNON+NOM
taraftarlarını	taraftar+NOUN+A3SG+P3PL+ACC
sakinleştirecek	sakinle+VERB+RECIP^DB+VERB+CAUS+POS+FUT+A3SG
bir	bir+DET
ortalama	ortala+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
değildir	değil+ADJ^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
kimse	kimse+NOUN+A3SG+PNON+NOM
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemlerin	işlem+NOUN+A3PL+PNON+GEN
ve	ve+CONJ
borsanın	borsa+NOUN+A3SG+PNON+GEN
bugün	bugün+NOUN+A3SG+PNON+NOM
hangi	hangi+PRON+QUESP+A3SG+PNON+NOM
seviyede	seviye+NOUN+A3SG+PNON+LOC
açılacağını	aç+VERB^DB+VERB+PASS+POS^DB+NOUN+FUTPART+A3SG+P3SG+ACC
bilemez	bil+VERB^DB+VERB+ABLE+NEG+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Birleşmiş	birleş+VERB+POS+NARR^DB+ADJ+ZERO
Milletlerin	millet+NOUN+A3PL+PNON+GEN
Babilcileri	Babilcileri+NOUN+PROP+A3SG+PNON+NOM
bulanıklaştırmada	bulanık+ADJ^DB+VERB+BECOME^DB+VERB+CAUS+POS^DB+NOUN+INF2+A3SG+PNON+LOC
uzmandırlar	uzman+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bugün	bugün+NOUN+A3SG+PNON+NOM
Giants	giants+NOUN+PROP+A3SG+PNON+NOM
tarafındayım	taraf+NOUN+A3SG+P3SG+LOC^DB+VERB+ZERO+PRES+A1SG
,	,+PUNC
ama	ama+CONJ
sırf	sırf+ADV
dün	dün+NOUN+A3SG+PNON+NOM
kaybettikleri	kaybet+VERB+POS^DB+NOUN+PASTPART+A3SG+P3PL+NOM
için	için+POSTP+PCNOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sadece	sadece+ADV
bilmek	bil+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
